P02760922A0000|0 56|Heterogeneous nuclear ribonucleoprotein (hnRNP) core protein A1
P07897696A0000|0 45|Erythrocyte delta-aminolevulinic acid dehydratase
P09268298T0000|0 44|Ent-kaurene synthase from the fungus Phaeosphaeria
P09723896A0000|0 40|Peroxisome proliferator-activated receptors
P10022880A0000|0 35|Mammalian Ras GTPase-activating protein
P02142921T0000|0 34|Luteinizing hormone-releasing hormone
P01870194A0302|0 30|Human immunodeficiency virus type 1
P11029459A0000|0 29|Transforming growth factor-beta1
P10585463A0859|0 29|Recombinant prenylcysteine lyase
P00027739T0000|0 28|Serum gamma glutamyltransferase
P10490835T0000|0 27|Protein kinase A-Ialpha subunit
P02474093T0000|0 26|Angiotensin converting enzyme
P03167060A0000|0 25|Insulin-like growth factor II
P10965905T0000|0 25|Insulin receptor substrate-1
P09333018A0000|0 25|Interferon Regulatory Factor
P09545638A0836|0 24|Recombinant HRMT1L2 protein
P07963540A0795|0 23|Recombinant I-kappa B alpha
P08647086T0000|0 23|Cyclin-dependent kinase-2
P02648646A0216|0 23|Platelet activating factor
P10811804A0000|0 23|Mitogen-activated protein
P09165035A0842|0 23|Serum alkaline phosphatase
P09748261A0000|0 22|Saccharomyces cerevisiae
P11356835A0000|0 22|Saccharomyces cerevisiae
P10490835T0000|0 20|Protein kinase A-Ialpha
P08824798A0761|0 20|Human ESP1/CRP2 protein
P08871635A0000|0 19|B cell antigen receptor
P10542269A0000|0 18|Amyloid beta-protein
P09268298T0000|0 18|Ent-kaurene synthase
P09914500A0000|0 18|Nuclear factor kappa B
P01330077A0000|0 17|T-cell receptor beta
P09003312A0740|0 17|Full-length AT-PHH1
P08473731A0149|0 17|B cell-specific mb-1
P01437562A0462|0 17|Anti-CRK antibodies
P08268718A0676|0 15|Human bcl3 protein
P11552922A0361|0 14|CYP2C19 genotype
P10094396A0000|0 14|Topoisomerase II
P01310935T0000|0 14|Drosophila UbcD1
P03143048A1091|0 14|HDL-cholesterol
P09525888A1482|0 14|Full-length FLAP
P06152670T0000|0 13|Plasma secretin
P02557217A0000|0 13|Beta-endorphin
P08654390A0000|0 13|Heme oxygenase 1
P02535460A1443|0 13|RNA transcripts
P09346238T0000|0 12|F-box proteins
P10607900T0000|0 12|Sak kinase gene
P09630245A0102|0 11|Yeast U1 snRNP
P09395470A0294|0 11|CKbeta4GT-II
P07779558T0000|0 11|Muscle GSH-Px
P11027280A0536|0 10|Cam kinase II
P11279038A0194|0 10|WRN helicase
P03015628A1078|0 10|Osteocalcin
P03319646T0000|0 10|Plasma renin
P08997490A1127|0 9|C/EBP beta V
P03127463A1017|0 9|Human rIL-3
P06977605T0000|0 9|Endorphins
P09933428A0351|0 8|IFN-gamma
P09368760A0665|0 8|Human PDK1
P09139694A0789|0 8|CTF1alpha
P07635572A1153|0 8|CIITA mRNA
P09285789A0712|0 7|Human Duo
P08454858A0285|0 7|Ig-alpha
P09139721A0183|0 7|Cyclin G2
P10773458A0000|0 6|SNAP-23
P11314046A0000|0 6|Cyclins
P09712037A0470|0 6|Tctex-1
P09920930A0521|0 6|C3 toxin
P10441506A0098|0 6|PKNbeta
P08534367A0984|0 5|PTP-S3
P11413310A0148|0 5|RANTES
P10712512A0506|0 5|Ste18p
P10653697A0133|0 5|Actins
P09837933T0000|0 5|P-CIP1
P11220306A0911|0 5|HexA71
P01480470A0323|0 5|BiP670
P09535835A0279|0 5|ROCK-I
P09001245A0187|0 5|NUP145
P09121476T0000|0 4|PRH75
P08575618A1138|0 4|RNase
P08977235A0134|0 4|G-CSF
P09502720A0214|0 4|CyIIa
P08552095A1115|0 4|Paf1p
P09257887A0457|0 4|G-CSF
